Date Category,Period,Time Category,$/kWh,Solar Production (kWh),Home Usage (kWh),Cost ,Net Grid Energy(kWh),Cumulative Solar Production (kWh),Cumulative Home Usage (kWh),Cumulative Net Grid Energy (kWh),Accumulative Cost
Weekend,"Sunday, 9/08/2024 - 4:00am - 5:00am",Super Off-Peak,$0.0451,0.01,1.95,$0.09,1.94,220.35,317.02,96.67,$80.00
Weekend,"Sunday, 9/08/2024 - 5:00am - 6:00am",Super Off-Peak,$0.0451,0.01,1.89,$0.09,1.88,220.36,318.91,98.55,$80.08
Weekend,"Sunday, 9/08/2024 - 6:00am - 7:00am",Super Off-Peak,$0.0451,0.02,1.77,$0.08,1.75,220.38,320.68,100.3,$80.16
Weekend,"Sunday, 9/08/2024 - 7:00am - 8:00am",Super Off-Peak,$0.0451,0.35,1.6,$0.07,1.25,220.73,322.28,101.55,$80.23
Weekend,"Sunday, 9/08/2024 - 8:00am - 9:00am",Super Off-Peak,$0.0451,0.86,1.99,$0.09,1.13,221.59,324.27,102.68,$80.32
Weekend,"Sunday, 9/08/2024 - 9:00am - 10:00am",Super Off-Peak,$0.0451,1.57,2.63,$0.12,1.06,223.16,326.9,103.74,$80.44
Weekend,"Sunday, 9/08/2024 - 10:00am - 11:00am",Super Off-Peak,$0.0451,2.41,2.43,$0.11,0.02,225.57,329.33,103.76,$80.55
Weekend,"Sunday, 9/08/2024 - 11:00am - 12:00pm",Super Off-Peak,$0.0451,3.03,2.81,$0.13,-0.22,228.6,332.14,103.54,$80.68
Weekend,"Sunday, 9/08/2024 - 12:00pm - 1:00pm",Super Off-Peak,$0.0451,3.97,3.03,$0.14,-0.94,232.57,335.17,102.6,$80.81
Weekend,"Sunday, 9/08/2024 - 1:00pm - 2:00pm",Super Off-Peak,$0.0451,4.24,4.06,$0.18,-0.18,236.81,339.23,102.42,$81.00
Weekend,"Sunday, 9/08/2024 - 2:00pm - 3:00pm",Off-Peak,$0.1452,2.2,1.67,$0.24,-0.53,239.01,340.9,101.89,$81.24
Weekend,"Sunday, 9/08/2024 - 3:00pm - 4:00pm",Off-Peak,$0.1452,0,0,$0.00,0,239.01,340.9,101.89,
Weekend,"Sunday, 9/08/2024 - 4:00pm - 5:00pm",Peak,$0.4699,0,0,$ -,0,239.01,340.9,101.89,
Weekend,"Sunday, 9/08/2024 - 5:00pm - 6:00pm",Peak,$0.4699,0,0,$ -,0,239.01,340.9,101.89,
Weekend,"Sunday, 9/08/2024 - 6:00pm - 7:00pm",Peak,$0.4699,0,0,$ -,0,239.01,340.9,101.89,
Weekend,"Sunday, 9/08/2024 - 7:00pm - 8:00pm",Peak,$0.4699,0,0,$ -,0,239.01,340.9,101.89,
Weekend,"Sunday, 9/08/2024 - 8:00pm - 9:00pm",Peak,$0.4699,0,0,$ -,0,239.01,340.9,101.89,
Weekend,"Sunday, 9/08/2024 - 9:00pm - 10:00pm",Off-Peak,$0.1452,0,0,$ -,0,239.01,340.9,101.89,
Weekend,"Sunday, 9/08/2024 - 10:00pm - 11:00pm",Off-Peak,$0.1452,0,0,$ -,0,239.01,340.9,101.89,
Weekend,"Sunday, 9/08/2024 - 11:00pm - 12:00am",Off-Peak,$0.1452,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Monday, 9/09/2024 - 12:00am - 1:00am",Super Off-Peak,$0.0451,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Monday, 9/09/2024 - 1:00am - 2:00am",Super Off-Peak,$0.0451,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Monday, 9/09/2024 - 2:00am - 3:00am",Super Off-Peak,$0.0451,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Monday, 9/09/2024 - 3:00am - 4:00am",Super Off-Peak,$0.0451,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Monday, 9/09/2024 - 4:00am - 5:00am",Super Off-Peak,$0.0451,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Monday, 9/09/2024 - 5:00am - 6:00am",Super Off-Peak,$0.0451,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Monday, 9/09/2024 - 6:00am - 7:00am",Off-Peak,$0.1452,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Monday, 9/09/2024 - 7:00am - 8:00am",Off-Peak,$0.1452,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Monday, 9/09/2024 - 8:00am - 9:00am",Off-Peak,$0.1452,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Monday, 9/09/2024 - 9:00am - 10:00am",Off-Peak,$0.1452,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Monday, 9/09/2024 - 10:00am - 11:00am",Off-Peak,$0.1452,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Monday, 9/09/2024 - 11:00am - 12:00pm",Off-Peak,$0.1452,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Monday, 9/09/2024 - 12:00pm - 1:00pm",Off-Peak,$0.1452,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Monday, 9/09/2024 - 1:00pm - 2:00pm",Off-Peak,$0.1452,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Monday, 9/09/2024 - 2:00pm - 3:00pm",Off-Peak,$0.1452,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Monday, 9/09/2024 - 3:00pm - 4:00pm",Off-Peak,$0.1452,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Monday, 9/09/2024 - 4:00pm - 5:00pm",Peak,$0.4699,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Monday, 9/09/2024 - 5:00pm - 6:00pm",Peak,$0.4699,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Monday, 9/09/2024 - 6:00pm - 7:00pm",Peak,$0.4699,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Monday, 9/09/2024 - 7:00pm - 8:00pm",Peak,$0.4699,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Monday, 9/09/2024 - 8:00pm - 9:00pm",Peak,$0.4699,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Monday, 9/09/2024 - 9:00pm - 10:00pm",Off-Peak,$0.1452,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Monday, 9/09/2024 - 10:00pm - 11:00pm",Off-Peak,$0.1452,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Monday, 9/09/2024 - 11:00pm - 12:00am",Off-Peak,$0.1452,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Tuesday, 9/10/2024 - 12:00am - 1:00am",Super Off-Peak,$0.4699,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Tuesday, 9/10/2024 - 1:00am - 2:00am",Super Off-Peak,$0.4699,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Tuesday, 9/10/2024 - 2:00am - 3:00am",Super Off-Peak,$0.4699,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Tuesday, 9/10/2024 - 3:00am - 4:00am",Super Off-Peak,$0.4699,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Tuesday, 9/10/2024 - 4:00am - 5:00am",Super Off-Peak,$0.4699,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Tuesday, 9/10/2024 - 5:00am - 6:00am",Super Off-Peak,$0.4699,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Tuesday, 9/10/2024 - 6:00am - 7:00am",Off-Peak,$0.1452,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Tuesday, 9/10/2024 - 7:00am - 8:00am",Off-Peak,$0.1452,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Tuesday, 9/10/2024 - 8:00am - 9:00am",Off-Peak,$0.1452,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Tuesday, 9/10/2024 - 9:00am - 10:00am",Off-Peak,$0.1452,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Tuesday, 9/10/2024 - 10:00am - 11:00am",Off-Peak,$0.1452,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Tuesday, 9/10/2024 - 11:00am - 12:00pm",Off-Peak,$0.1452,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Tuesday, 9/10/2024 - 12:00pm - 1:00pm",Off-Peak,$0.1452,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Tuesday, 9/10/2024 - 1:00pm - 2:00pm",Off-Peak,$0.1452,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Tuesday, 9/10/2024 - 2:00pm - 3:00pm",Off-Peak,$0.1452,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Tuesday, 9/10/2024 - 3:00pm - 4:00pm",Off-Peak,$0.1452,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Tuesday, 9/10/2024 - 4:00pm - 5:00pm",Peak,$0.4699,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Tuesday, 9/10/2024 - 5:00pm - 6:00pm",Peak,$0.4699,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Tuesday, 9/10/2024 - 6:00pm - 7:00pm",Peak,$0.4699,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Tuesday, 9/10/2024 - 7:00pm - 8:00pm",Peak,$0.4699,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Tuesday, 9/10/2024 - 8:00pm - 9:00pm",Peak,$0.4699,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Tuesday, 9/10/2024 - 9:00pm - 10:00pm",Off-Peak,$0.1452,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Tuesday, 9/10/2024 - 10:00pm - 11:00pm",Off-Peak,$0.1452,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Tuesday, 9/10/2024 - 11:00pm - 12:00am",Off-Peak,$0.1452,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Wednesday, 9/11/2024 - 12:00am - 1:00am",Super Off-Peak,$0.4699,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Wednesday, 9/11/2024 - 1:00am - 2:00am",Super Off-Peak,$0.4699,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Wednesday, 9/11/2024 - 2:00am - 3:00am",Super Off-Peak,$0.4699,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Wednesday, 9/11/2024 - 3:00am - 4:00am",Super Off-Peak,$0.4699,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Wednesday, 9/11/2024 - 4:00am - 5:00am",Super Off-Peak,$0.4699,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Wednesday, 9/11/2024 - 5:00am - 6:00am",Super Off-Peak,$0.4699,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Wednesday, 9/11/2024 - 6:00am - 7:00am",Off-Peak,$0.1452,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Wednesday, 9/11/2024 - 7:00am - 8:00am",Off-Peak,$0.1452,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Wednesday, 9/11/2024 - 8:00am - 9:00am",Off-Peak,$0.1452,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Wednesday, 9/11/2024 - 9:00am - 10:00am",Off-Peak,$0.1452,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Wednesday, 9/11/2024 - 10:00am - 11:00am",Off-Peak,$0.1452,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Wednesday, 9/11/2024 - 11:00am - 12:00pm",Off-Peak,$0.1452,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Wednesday, 9/11/2024 - 12:00pm - 1:00pm",Off-Peak,$0.1452,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Wednesday, 9/11/2024 - 1:00pm - 2:00pm",Off-Peak,$0.1452,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Wednesday, 9/11/2024 - 2:00pm - 3:00pm",Off-Peak,$0.1452,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Wednesday, 9/11/2024 - 3:00pm - 4:00pm",Off-Peak,$0.1452,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Wednesday, 9/11/2024 - 4:00pm - 5:00pm",Peak,$0.4699,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Wednesday, 9/11/2024 - 5:00pm - 6:00pm",Peak,$0.4699,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Wednesday, 9/11/2024 - 6:00pm - 7:00pm",Peak,$0.4699,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Wednesday, 9/11/2024 - 7:00pm - 8:00pm",Peak,$0.4699,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Wednesday, 9/11/2024 - 8:00pm - 9:00pm",Peak,$0.4699,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Wednesday, 9/11/2024 - 9:00pm - 10:00pm",Off-Peak,$0.1452,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Wednesday, 9/11/2024 - 10:00pm - 11:00pm",Off-Peak,$0.1452,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Wednesday, 9/11/2024 - 11:00pm - 12:00am",Off-Peak,$0.1452,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Thursday, 9/12/2024 - 12:00am - 1:00am",Super Off-Peak,$0.4699,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Thursday, 9/12/2024 - 1:00am - 2:00am",Super Off-Peak,$0.4699,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Thursday, 9/12/2024 - 2:00am - 3:00am",Super Off-Peak,$0.4699,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Thursday, 9/12/2024 - 3:00am - 4:00am",Super Off-Peak,$0.4699,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Thursday, 9/12/2024 - 4:00am - 5:00am",Super Off-Peak,$0.4699,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Thursday, 9/12/2024 - 5:00am - 6:00am",Super Off-Peak,$0.4699,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Thursday, 9/12/2024 - 6:00am - 7:00am",Off-Peak,$0.1452,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Thursday, 9/12/2024 - 7:00am - 8:00am",Off-Peak,$0.1452,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Thursday, 9/12/2024 - 8:00am - 9:00am",Off-Peak,$0.1452,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Thursday, 9/12/2024 - 9:00am - 10:00am",Off-Peak,$0.1452,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Thursday, 9/12/2024 - 10:00am - 11:00am",Off-Peak,$0.1452,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Thursday, 9/12/2024 - 11:00am - 12:00pm",Off-Peak,$0.1452,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Thursday, 9/12/2024 - 12:00pm - 1:00pm",Off-Peak,$0.1452,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Thursday, 9/12/2024 - 1:00pm - 2:00pm",Off-Peak,$0.1452,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Thursday, 9/12/2024 - 2:00pm - 3:00pm",Off-Peak,$0.1452,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Thursday, 9/12/2024 - 3:00pm - 4:00pm",Off-Peak,$0.1452,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Thursday, 9/12/2024 - 4:00pm - 5:00pm",Peak,$0.4699,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Thursday, 9/12/2024 - 5:00pm - 6:00pm",Peak,$0.4699,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Thursday, 9/12/2024 - 6:00pm - 7:00pm",Peak,$0.4699,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Thursday, 9/12/2024 - 7:00pm - 8:00pm",Peak,$0.4699,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Thursday, 9/12/2024 - 8:00pm - 9:00pm",Peak,$0.4699,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Thursday, 9/12/2024 - 9:00pm - 10:00pm",Off-Peak,$0.1452,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Thursday, 9/12/2024 - 10:00pm - 11:00pm",Off-Peak,$0.1452,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Thursday, 9/12/2024 - 11:00pm - 12:00am",Off-Peak,$0.1452,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Friday, 9/13/2024 - 12:00am - 1:00am",Super Off-Peak,$0.4699,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Friday, 9/13/2024 - 1:00am - 2:00am",Super Off-Peak,$0.4699,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Friday, 9/13/2024 - 2:00am - 3:00am",Super Off-Peak,$0.4699,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Friday, 9/13/2024 - 3:00am - 4:00am",Super Off-Peak,$0.4699,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Friday, 9/13/2024 - 4:00am - 5:00am",Super Off-Peak,$0.4699,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Friday, 9/13/2024 - 5:00am - 6:00am",Super Off-Peak,$0.4699,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Friday, 9/13/2024 - 6:00am - 7:00am",Off-Peak,$0.1452,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Friday, 9/13/2024 - 7:00am - 8:00am",Off-Peak,$0.1452,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Friday, 9/13/2024 - 8:00am - 9:00am",Off-Peak,$0.1452,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Friday, 9/13/2024 - 9:00am - 10:00am",Off-Peak,$0.1452,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Friday, 9/13/2024 - 10:00am - 11:00am",Off-Peak,$0.1452,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Friday, 9/13/2024 - 11:00am - 12:00pm",Off-Peak,$0.1452,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Friday, 9/13/2024 - 12:00pm - 1:00pm",Off-Peak,$0.1452,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Friday, 9/13/2024 - 1:00pm - 2:00pm",Off-Peak,$0.1452,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Friday, 9/13/2024 - 2:00pm - 3:00pm",Off-Peak,$0.1452,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Friday, 9/13/2024 - 3:00pm - 4:00pm",Off-Peak,$0.1452,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Friday, 9/13/2024 - 4:00pm - 5:00pm",Peak,$0.4699,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Friday, 9/13/2024 - 5:00pm - 6:00pm",Peak,$0.4699,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Friday, 9/13/2024 - 6:00pm - 7:00pm",Peak,$0.4699,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Friday, 9/13/2024 - 7:00pm - 8:00pm",Peak,$0.4699,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Friday, 9/13/2024 - 8:00pm - 9:00pm",Peak,$0.4699,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Friday, 9/13/2024 - 9:00pm - 10:00pm",Off-Peak,$0.1452,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Friday, 9/13/2024 - 10:00pm - 11:00pm",Off-Peak,$0.1452,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Friday, 9/13/2024 - 11:00pm - 12:00am",Off-Peak,$0.1452,0,0,$ -,0,239.01,340.9,101.89,
Weekend,"Saturday, 9/14/2024 - 12:00am - 1:00am",Super Off-Peak,$0.0451,0,0,$ -,0,239.01,340.9,101.89,
Weekend,"Saturday, 9/14/2024 - 1:00am - 2:00am",Super Off-Peak,$0.0451,0,0,$ -,0,239.01,340.9,101.89,
Weekend,"Saturday, 9/14/2024 - 2:00am - 3:00am",Super Off-Peak,$0.0451,0,0,$ -,0,239.01,340.9,101.89,
Weekend,"Saturday, 9/14/2024 - 3:00am - 4:00am",Super Off-Peak,$0.0451,0,0,$ -,0,239.01,340.9,101.89,
Weekend,"Saturday, 9/14/2024 - 4:00am - 5:00am",Super Off-Peak,$0.0451,0,0,$ -,0,239.01,340.9,101.89,
Weekend,"Saturday, 9/14/2024 - 5:00am - 6:00am",Super Off-Peak,$0.0451,0,0,$ -,0,239.01,340.9,101.89,
Weekend,"Saturday, 9/14/2024 - 6:00am - 7:00am",Super Off-Peak,$0.0451,0,0,$ -,0,239.01,340.9,101.89,
Weekend,"Saturday, 9/14/2024 - 7:00am - 8:00am",Super Off-Peak,$0.0451,0,0,$ -,0,239.01,340.9,101.89,
Weekend,"Saturday, 9/14/2024 - 8:00am - 9:00am",Super Off-Peak,$0.0451,0,0,$ -,0,239.01,340.9,101.89,
Weekend,"Saturday, 9/14/2024 - 9:00am - 10:00am",Super Off-Peak,$0.0451,0,0,$ -,0,239.01,340.9,101.89,
Weekend,"Saturday, 9/14/2024 - 10:00am - 11:00am",Super Off-Peak,$0.0451,0,0,$ -,0,239.01,340.9,101.89,
Weekend,"Saturday, 9/14/2024 - 11:00am - 12:00pm",Super Off-Peak,$0.0451,0,0,$ -,0,239.01,340.9,101.89,
Weekend,"Saturday, 9/14/2024 - 12:00pm - 1:00pm",Super Off-Peak,$0.0451,0,0,$ -,0,239.01,340.9,101.89,
Weekend,"Saturday, 9/14/2024 - 1:00pm - 2:00pm",Super Off-Peak,$0.0451,0,0,$ -,0,239.01,340.9,101.89,
Weekend,"Saturday, 9/14/2024 - 2:00pm - 3:00pm",Off-Peak,$0.1452,0,0,$ -,0,239.01,340.9,101.89,
Weekend,"Saturday, 9/14/2024 - 3:00pm - 4:00pm",Off-Peak,$0.1452,0,0,$ -,0,239.01,340.9,101.89,
Weekend,"Saturday, 9/14/2024 - 4:00pm - 5:00pm",Peak,$0.4699,0,0,$ -,0,239.01,340.9,101.89,
Weekend,"Saturday, 9/14/2024 - 5:00pm - 6:00pm",Peak,$0.4699,0,0,$ -,0,239.01,340.9,101.89,
Weekend,"Saturday, 9/14/2024 - 6:00pm - 7:00pm",Peak,$0.4699,0,0,$ -,0,239.01,340.9,101.89,
Weekend,"Saturday, 9/14/2024 - 7:00pm - 8:00pm",Peak,$0.4699,0,0,$ -,0,239.01,340.9,101.89,
Weekend,"Saturday, 9/14/2024 - 8:00pm - 9:00pm",Peak,$0.4699,0,0,$ -,0,239.01,340.9,101.89,
Weekend,"Saturday, 9/14/2024 - 9:00pm - 10:00pm",Off-Peak,$0.1452,0,0,$ -,0,239.01,340.9,101.89,
Weekend,"Saturday, 9/14/2024 - 10:00pm - 11:00pm",Off-Peak,$0.1452,0,0,$ -,0,239.01,340.9,101.89,
Weekend,"Saturday, 9/14/2024 - 11:00pm - 12:00am",Off-Peak,$0.1452,0,0,$ -,0,239.01,340.9,101.89,
Weekend,"Sunday, 9/15/2024 - 12:00am - 1:00am",Super Off-Peak,$0.0451,0,0,$ -,0,239.01,340.9,101.89,
Weekend,"Sunday, 9/15/2024 - 1:00am - 2:00am",Super Off-Peak,$0.0451,0,0,$ -,0,239.01,340.9,101.89,
Weekend,"Sunday, 9/15/2024 - 2:00am - 3:00am",Super Off-Peak,$0.0451,0,0,$ -,0,239.01,340.9,101.89,
Weekend,"Sunday, 9/15/2024 - 3:00am - 4:00am",Super Off-Peak,$0.0451,0,0,$ -,0,239.01,340.9,101.89,
Weekend,"Sunday, 9/15/2024 - 4:00am - 5:00am",Super Off-Peak,$0.0451,0,0,$ -,0,239.01,340.9,101.89,
Weekend,"Sunday, 9/15/2024 - 5:00am - 6:00am",Super Off-Peak,$0.0451,0,0,$ -,0,239.01,340.9,101.89,
Weekend,"Sunday, 9/15/2024 - 6:00am - 7:00am",Super Off-Peak,$0.0451,0,0,$ -,0,239.01,340.9,101.89,
Weekend,"Sunday, 9/15/2024 - 7:00am - 8:00am",Super Off-Peak,$0.0451,0,0,$ -,0,239.01,340.9,101.89,
Weekend,"Sunday, 9/15/2024 - 8:00am - 9:00am",Super Off-Peak,$0.0451,0,0,$ -,0,239.01,340.9,101.89,
Weekend,"Sunday, 9/15/2024 - 9:00am - 10:00am",Super Off-Peak,$0.0451,0,0,$ -,0,239.01,340.9,101.89,
Weekend,"Sunday, 9/15/2024 - 10:00am - 11:00am",Super Off-Peak,$0.0451,0,0,$ -,0,239.01,340.9,101.89,
Weekend,"Sunday, 9/15/2024 - 11:00am - 12:00pm",Super Off-Peak,$0.0451,0,0,$ -,0,239.01,340.9,101.89,
Weekend,"Sunday, 9/15/2024 - 12:00pm - 1:00pm",Super Off-Peak,$0.0451,0,0,$ -,0,239.01,340.9,101.89,
Weekend,"Sunday, 9/15/2024 - 1:00pm - 2:00pm",Super Off-Peak,$0.0451,0,0,$ -,0,239.01,340.9,101.89,
Weekend,"Sunday, 9/15/2024 - 2:00pm - 3:00pm",Off-Peak,$0.1452,0,0,$ -,0,239.01,340.9,101.89,
Weekend,"Sunday, 9/15/2024 - 3:00pm - 4:00pm",Off-Peak,$0.1452,0,0,$ -,0,239.01,340.9,101.89,
Weekend,"Sunday, 9/15/2024 - 4:00pm - 5:00pm",Peak,$0.4699,0,0,$ -,0,239.01,340.9,101.89,
Weekend,"Sunday, 9/15/2024 - 5:00pm - 6:00pm",Peak,$0.4699,0,0,$ -,0,239.01,340.9,101.89,
Weekend,"Sunday, 9/15/2024 - 6:00pm - 7:00pm",Peak,$0.4699,0,0,$ -,0,239.01,340.9,101.89,
Weekend,"Sunday, 9/15/2024 - 7:00pm - 8:00pm",Peak,$0.4699,0,0,$ -,0,239.01,340.9,101.89,
Weekend,"Sunday, 9/15/2024 - 8:00pm - 9:00pm",Peak,$0.4699,0,0,$ -,0,239.01,340.9,101.89,
Weekend,"Sunday, 9/15/2024 - 9:00pm - 10:00pm",Off-Peak,$0.1452,0,0,$ -,0,239.01,340.9,101.89,
Weekend,"Sunday, 9/15/2024 - 10:00pm - 11:00pm",Off-Peak,$0.1452,0,0,$ -,0,239.01,340.9,101.89,
Weekend,"Sunday, 9/15/2024 - 11:00pm - 12:00am",Off-Peak,$0.1452,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Monday, 9/16/2024 - 12:00am - 1:00am",Super Off-Peak,$0.0451,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Monday, 9/16/2024 - 1:00am - 2:00am",Super Off-Peak,$0.0451,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Monday, 9/16/2024 - 2:00am - 3:00am",Super Off-Peak,$0.0451,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Monday, 9/16/2024 - 3:00am - 4:00am",Super Off-Peak,$0.0451,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Monday, 9/16/2024 - 4:00am - 5:00am",Super Off-Peak,$0.0451,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Monday, 9/16/2024 - 5:00am - 6:00am",Super Off-Peak,$0.0451,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Monday, 9/16/2024 - 6:00am - 7:00am",Off-Peak,$0.1452,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Monday, 9/16/2024 - 7:00am - 8:00am",Off-Peak,$0.1452,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Monday, 9/16/2024 - 8:00am - 9:00am",Off-Peak,$0.1452,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Monday, 9/16/2024 - 9:00am - 10:00am",Off-Peak,$0.1452,0,0,$ -,0,239.01,340.9,101.89,
Weekday,"Monday, 9/16/2024 - 10:00am - 11:00am",Off-Peak,$0.1452,0,0,$ -,0,239.01,340.9,101.89,
